Campo,Descripcion
long,Es la coordenada de longitud
lat,Es la coordenada de latitud
nro_registro,Es el numero de Registro
tipo_activ,Es el tipo de ubicación del arbol
comuna,Es el numero de la comuna donde se encuentra el arbol
manzana,Es el numero de la manzana donde se encuentra el arbol
calle_nombre,	
calle_altura,	
calle_chapa,
direccion_normalizada,Es la direccion completa normalizada
ubicacion,Es el tipo de ubicación del arbol. Si dice exacta esta correcta; el resto es aproximada
nombre_cientifico,Es el nombre cientifico del Arbol
ancho_acera,Es el ancho de la vereda donde se encuentra el arbol
estado_plantera,Es el estado de la plantera donde se encuentra el arbol
ubicacion_plantera,Es la ubicación de la plantera donde se encuentra el arbol
nivel_plantera,Es la descripcion del nivel de la plantera donde se encuentra el arbol
diametro_altura_pecho,Es el diametro del tronco principal del arbol
altura_arbol,Es la altura del Arbol
